84
(-0.500000, 0.500000, 0.500000) (1.000000, 1.000000, 1.000000) (0.625000, 0.000000) 
(-0.500000, -0.500000, -0.500000) (1.000000, 1.000000, 1.000000) (0.375000, 0.250000) 
(-0.500000, -0.500000, 0.500000) (1.000000, 1.000000, 1.000000) (0.375000, 0.000000) 
(-0.500000, 0.500000, -0.500000) (1.000000, 1.000000, 1.000000) (0.625000, 0.250000) 
(0.500000, -0.500000, -0.500000) (1.000000, 1.000000, 1.000000) (0.375000, 0.500000) 
(-0.500000, -0.500000, -0.500000) (1.000000, 1.000000, 1.000000) (0.375000, 0.250000) 
(0.500000, 0.500000, -0.500000) (1.000000, 1.000000, 1.000000) (0.625000, 0.500000) 
(0.500000, -0.500000, 0.500000) (1.000000, 1.000000, 1.000000) (0.375000, 0.750000) 
(0.500000, -0.500000, -0.500000) (1.000000, 1.000000, 1.000000) (0.375000, 0.500000) 
(0.500000, 0.500000, 0.500000) (1.000000, 1.000000, 1.000000) (0.625000, 0.750000) 
(-0.500000, -0.500000, 0.500000) (1.000000, 1.000000, 1.000000) (0.375000, 1.000000) 
(0.500000, -0.500000, 0.500000) (1.000000, 1.000000, 1.000000) (0.375000, 0.750000) 
(0.500000, -0.500000, -0.500000) (1.000000, 1.000000, 1.000000) (0.375000, 0.500000) 
(-0.500000, -0.500000, 0.500000) (1.000000, 1.000000, 1.000000) (0.125000, 0.750000) 
(-0.500000, -0.500000, -0.500000) (1.000000, 1.000000, 1.000000) (0.125000, 0.500000) 
(0.500000, 0.500000, -0.500000) (1.000000, 1.000000, 1.000000) (0.625000, 0.500000) 
(0.200190, 0.641991, 0.200190) (1.000000, 1.000000, 1.000000) (0.625000, 0.750000) 
(0.500000, 0.500000, 0.500000) (1.000000, 1.000000, 1.000000) (0.625000, 0.750000) 
(-0.500000, 0.500000, 0.500000) (1.000000, 1.000000, 1.000000) (0.625000, 0.000000) 
(-0.500000, 0.500000, -0.500000) (1.000000, 1.000000, 1.000000) (0.625000, 0.250000) 
(-0.500000, -0.500000, -0.500000) (1.000000, 1.000000, 1.000000) (0.375000, 0.250000) 
(-0.500000, 0.500000, -0.500000) (1.000000, 1.000000, 1.000000) (0.625000, 0.250000) 
(0.500000, 0.500000, -0.500000) (1.000000, 1.000000, 1.000000) (0.625000, 0.500000) 
(0.500000, -0.500000, -0.500000) (1.000000, 1.000000, 1.000000) (0.375000, 0.500000) 
(0.500000, 0.500000, -0.500000) (1.000000, 1.000000, 1.000000) (0.625000, 0.500000) 
(0.500000, 0.500000, 0.500000) (1.000000, 1.000000, 1.000000) (0.625000, 0.750000) 
(0.500000, -0.500000, 0.500000) (1.000000, 1.000000, 1.000000) (0.375000, 0.750000) 
(0.500000, 0.500000, 0.500000) (1.000000, 1.000000, 1.000000) (0.625000, 0.750000) 
(-0.500000, 0.500000, 0.500000) (1.000000, 1.000000, 1.000000) (0.625000, 1.000000) 
(-0.500000, -0.500000, 0.500000) (1.000000, 1.000000, 1.000000) (0.375000, 1.000000) 
(0.500000, -0.500000, -0.500000) (1.000000, 1.000000, 1.000000) (0.375000, 0.500000) 
(0.500000, -0.500000, 0.500000) (1.000000, 1.000000, 1.000000) (0.375000, 0.750000) 
(-0.500000, -0.500000, 0.500000) (1.000000, 1.000000, 1.000000) (0.125000, 0.750000) 
(-0.500000, 0.500000, -0.500000) (1.000000, 1.000000, 1.000000) (0.625000, 0.250000) 
(0.200190, 0.641991, -0.200190) (1.000000, 1.000000, 1.000000) (0.625000, 0.500000) 
(0.500000, 0.500000, -0.500000) (1.000000, 1.000000, 1.000000) (0.625000, 0.500000) 
(-0.200190, 0.641991, 0.200190) (1.000000, 1.000000, 1.000000) (0.625000, 0.000000) 
(-0.130494, 0.786299, -0.130494) (1.000000, 1.000000, 1.000000) (0.625000, 0.250000) 
(-0.200190, 0.641991, -0.200190) (1.000000, 1.000000, 1.000000) (0.625000, 0.250000) 
(0.200190, 0.641991, -0.200190) (1.000000, 1.000000, 1.000000) (0.625000, 0.500000) 
(0.130494, 0.786299, 0.130494) (1.000000, 1.000000, 1.000000) (0.625000, 0.750000) 
(0.200190, 0.641991, 0.200190) (1.000000, 1.000000, 1.000000) (0.625000, 0.750000) 
(-0.500000, 0.500000, 0.500000) (1.000000, 1.000000, 1.000000) (0.625000, 0.000000) 
(-0.200190, 0.641991, -0.200190) (1.000000, 1.000000, 1.000000) (0.625000, 0.250000) 
(-0.500000, 0.500000, -0.500000) (1.000000, 1.000000, 1.000000) (0.625000, 0.250000) 
(0.500000, 0.500000, 0.500000) (1.000000, 1.000000, 1.000000) (0.625000, 0.750000) 
(-0.200190, 0.641991, 0.200190) (1.000000, 1.000000, 1.000000) (0.625000, 1.000000) 
(-0.500000, 0.500000, 0.500000) (1.000000, 1.000000, 1.000000) (0.625000, 1.000000) 
(-0.130494, 0.786299, -0.130494) (1.000000, 1.000000, 1.000000) (0.875000, 0.500000) 
(0.130494, 0.786299, 0.130494) (1.000000, 1.000000, 1.000000) (0.625000, 0.750000) 
(0.130494, 0.786299, -0.130494) (1.000000, 1.000000, 1.000000) (0.625000, 0.500000) 
(-0.130494, 0.786299, -0.130494) (1.000000, 1.000000, 1.000000) (0.875000, 0.500000) 
(-0.130494, 0.786299, 0.130494) (1.000000, 1.000000, 1.000000) (0.875000, 0.750000) 
(0.130494, 0.786299, 0.130494) (1.000000, 1.000000, 1.000000) (0.625000, 0.750000) 
(0.200190, 0.641991, 0.200190) (1.000000, 1.000000, 1.000000) (0.625000, 0.750000) 
(-0.130494, 0.786299, 0.130494) (1.000000, 1.000000, 1.000000) (0.625000, 1.000000) 
(-0.200190, 0.641991, 0.200190) (1.000000, 1.000000, 1.000000) (0.625000, 1.000000) 
(-0.200190, 0.641991, -0.200190) (1.000000, 1.000000, 1.000000) (0.625000, 0.250000) 
(0.130494, 0.786299, -0.130494) (1.000000, 1.000000, 1.000000) (0.625000, 0.500000) 
(0.200190, 0.641991, -0.200190) (1.000000, 1.000000, 1.000000) (0.625000, 0.500000) 
(0.500000, 0.500000, -0.500000) (1.000000, 1.000000, 1.000000) (0.625000, 0.500000) 
(0.200190, 0.641991, -0.200190) (1.000000, 1.000000, 1.000000) (0.625000, 0.500000) 
(0.200190, 0.641991, 0.200190) (1.000000, 1.000000, 1.000000) (0.625000, 0.750000) 
(-0.500000, 0.500000, -0.500000) (1.000000, 1.000000, 1.000000) (0.625000, 0.250000) 
(-0.200190, 0.641991, -0.200190) (1.000000, 1.000000, 1.000000) (0.625000, 0.250000) 
(0.200190, 0.641991, -0.200190) (1.000000, 1.000000, 1.000000) (0.625000, 0.500000) 
(-0.200190, 0.641991, 0.200190) (1.000000, 1.000000, 1.000000) (0.625000, 0.000000) 
(-0.130494, 0.786299, 0.130494) (1.000000, 1.000000, 1.000000) (0.625000, 0.000000) 
(-0.130494, 0.786299, -0.130494) (1.000000, 1.000000, 1.000000) (0.625000, 0.250000) 
(0.200190, 0.641991, -0.200190) (1.000000, 1.000000, 1.000000) (0.625000, 0.500000) 
(0.130494, 0.786299, -0.130494) (1.000000, 1.000000, 1.000000) (0.625000, 0.500000) 
(0.130494, 0.786299, 0.130494) (1.000000, 1.000000, 1.000000) (0.625000, 0.750000) 
(-0.500000, 0.500000, 0.500000) (1.000000, 1.000000, 1.000000) (0.625000, 0.000000) 
(-0.200190, 0.641991, 0.200190) (1.000000, 1.000000, 1.000000) (0.625000, 0.000000) 
(-0.200190, 0.641991, -0.200190) (1.000000, 1.000000, 1.000000) (0.625000, 0.250000) 
(0.500000, 0.500000, 0.500000) (1.000000, 1.000000, 1.000000) (0.625000, 0.750000) 
(0.200190, 0.641991, 0.200190) (1.000000, 1.000000, 1.000000) (0.625000, 0.750000) 
(-0.200190, 0.641991, 0.200190) (1.000000, 1.000000, 1.000000) (0.625000, 1.000000) 
(0.200190, 0.641991, 0.200190) (1.000000, 1.000000, 1.000000) (0.625000, 0.750000) 
(0.130494, 0.786299, 0.130494) (1.000000, 1.000000, 1.000000) (0.625000, 0.750000) 
(-0.130494, 0.786299, 0.130494) (1.000000, 1.000000, 1.000000) (0.625000, 1.000000) 
(-0.200190, 0.641991, -0.200190) (1.000000, 1.000000, 1.000000) (0.625000, 0.250000) 
(-0.130494, 0.786299, -0.130494) (1.000000, 1.000000, 1.000000) (0.625000, 0.250000) 
(0.130494, 0.786299, -0.130494) (1.000000, 1.000000, 1.000000) (0.625000, 0.500000) 
